name,description,symptoms,treatment,prevention,when_to__see_doctor,,
Acne,Skin condition when hair follicles plug with oil and dead skin cells,"Whiteheads, blackheads, papules, pustules, nodules, cysts","Topical retinoids, antibiotics, benzoyl peroxide, oral contraceptives, isotretinoin","Gentle cleansing, avoid oily products, don't pick at skin","Severe cystic acne, scarring, emotional distress, treatment failure",,
Allergic,Rhinitis,Allergic response causing nasal inflammation due to allergens,"Sneezing, runny nose, itchy eyes/nose/throat, nasal congestion, postnasal drip","Antihistamines, nasal corticosteroids, decongestants, leukotriene modifiers, immunotherapy","Avoid allergens, use air purifiers, keep windows closed during high pollen seasons","Symptoms interfere with sleep or daily activities, OTC medications ineffective",
Anemia,Condition with inadequate healthy red blood cells to carry sufficient oxygen,"Fatigue, weakness, pale skin, shortness of breath, dizziness, cold hands/feet, chest pain","Iron supplements, vitamin B12 injections, folic acid, blood transfusion, treat underlying cause","Iron-rich diet, treat underlying causes, regular check-ups","Severe fatigue, chest pain, rapid heartbeat, fainting",,
Generalized,Anxiety,Disorder,Mental health disorder characterized by persistent and excessive worry,"Restlessness, fatigue, difficulty concentrating, irritability, muscle tension, sleep disturbances","Cognitive behavioral therapy, SSRIs, SNRIs, benzodiazepines, buspirone","Stress management, regular exercise, avoid caffeine, mindfulness meditation","Panic attacks, suicidal thoughts, unable to perform daily activities"
Appendicitis,Inflammation of the appendix requiring emergency medical attention,"Abdominal pain migrating to lower right quadrant, nausea, vomiting, fever, loss of appetite","Appendectomy (surgical removal), antibiotics",No known prevention,"Severe abdominal pain, fever, vomiting - REQUIRES IMMEDIATE EMERGENCY CARE",,
Osteoarthritis,Degenerative joint disease involving breakdown of joint cartilage,"Joint pain, stiffness, swelling, decreased range of motion, bone spurs","NSAIDs, acetaminophen, physical therapy, joint injections, joint replacement","Maintain healthy weight, exercise, avoid joint injury","Severe joint pain, deformity, inability to move joint",,
Asthma,Chronic inflammatory disease of the airways causing reversible airflow obstruction,"Wheezing, coughing, chest tightness, shortness of breath, particularly at night/early morning","Inhaled corticosteroids, bronchodilators, leukotriene modifiers, biologic therapies","Avoid triggers (allergens, smoke), action plan, vaccinations","Severe attack, bluish lips/nails, difficulty speaking",,
Athlete's,Foot,Fungal infection of the feet typically starting between toes,"Itching, burning, stinging, blisters, cracking, peeling skin, discolored toenails","Antifungal creams (clotrimazole, miconazole), powders, oral medications (terbinafine)","Keep feet dry, wear shower shoes, change socks daily, alternate shoes","Severe infection, spreading to other areas, diabetes present",
Hypertension,Chronic medical condition with elevated blood pressure in the arteries,"Often asymptomatic; severe cases: headaches, shortness of breath, nosebleeds, flushing","Lifestyle modifications, diuretics, ACE inhibitors, calcium channel blockers, beta-blockers","Healthy diet (DASH), regular exercise, weight management, limit alcohol, no smoking","BP >180/120, chest pain, shortness of breath, severe headache",,
Type,2,Diabetes,"Metabolic disorder characterized by high blood sugar, insulin resistance","Increased thirst, frequent urination, hunger, fatigue, blurred vision, slow healing","Metformin, sulfonylureas, insulin, SGLT2 inhibitors, GLP-1 receptor agonists","Healthy diet, regular exercise, weight management, regular screening if high risk","Blood sugar >300 mg/dL, ketones in urine, confusion, excessive thirst/urination"
Migraine,"Neurological condition characterized by recurrent, often debilitating headaches","Throbbing pain, usually one-sided, sensitivity to light/sound, nausea, vomiting, aura","Triptans, NSAIDs, antiemetics, preventive medications (beta-blockers, anticonvulsants)","Identify and avoid triggers, stress management, regular sleep, hydration","Sudden severe headache, headache with fever/stiff neck, neurological symptoms",,
Depression,Mental health disorder characterized by persistent depressed mood,"Sadness, hopelessness, loss of interest, sleep/appite changes, fatigue, difficulty concentrating","Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), ECT for severe cases","Regular exercise, social support, stress management, early treatment","Suicidal thoughts, inability to function, psychotic symptoms",,
Influenza,Acute viral respiratory infection that can cause mild to severe illness,"Fever, chills, cough, sore throat, muscle aches, fatigue, headache","Antiviral medications (oseltamivir, zanamivir), rest, fluids, pain relievers","Annual flu vaccine, hand hygiene, avoid sick people","Difficulty breathing, chest pain, confusion, severe vomiting",,
GERD,Chronic condition where stomach acid frequently flows back into the esophagus,"Heartburn, regurgitation, chest pain, difficulty swallowing, chronic cough, laryngitis","Proton pump inhibitors, H2 blockers, antacids, lifestyle modifications, surgery","Avoid trigger foods, weight management, elevate head of bed, don't lie down after eating","Severe chest pain, difficulty swallowing, unintentional weight loss",,
COPD,Progressive lung disease causing obstructed airflow from the lungs,"Shortness of breath, wheezing, chest tightness, chronic cough with mucus, frequent respiratory infections","Bronchodilators, inhaled steroids, oxygen therapy, pulmonary rehabilitation, antibiotics","Smoking cessation, avoid pollutants, vaccinations","Increased shortness of breath, bluish lips/nails, confusion",,
Hypothyroidism,Condition where thyroid gland doesn't produce enough thyroid hormone,"Fatigue, weight gain, cold intolerance, constipation, dry skin, depression, muscle weakness",Levothyroxine (thyroid hormone replacement),No known prevention; regular monitoring if at risk,"Severe symptoms, heart rate <60 bpm, extreme fatigue",,
UTI,"Infection in any part of urinary system - kidneys, ureters, bladder, urethra","Burning with urination, frequent urination, cloudy/strong-smelling urine, pelvic pain","Antibiotics (trimethoprim-sulfa, nitrofurantoin), pain relievers, increased fluids","Stay hydrated, wipe front to back, urinate after intercourse, avoid irritating feminine products","Fever, chills, back pain (kidney infection), persistent symptoms",,
Coronary,Artery,Disease,"Damage to heart's major blood vessels, usually from atherosclerosis","Chest pain (angina), shortness of breath, heart attack, fatigue, dizziness","Lifestyle changes, medications (statins, beta-blockers, aspirin), angioplasty, bypass surgery","Healthy diet, regular exercise, no smoking, control blood pressure/cholesterol/diabetes","Chest pain, especially with exertion; symptoms of heart attack"
Psoriasis,Chronic autoimmune condition that causes rapid skin cell buildup,"Red patches with silvery scales, dry cracked skin, itching/burning, thickened pitted nails","Topical corticosteroids, vitamin D analogs, phototherapy, systemic medications, biologics","Stress management, avoid triggers, skin care, healthy lifestyle","Widespread involvement, joint pain, significant impact on quality of life",,
Rheumatoid,Arthritis,Chronic inflammatory autoimmune disorder affecting joints,"Joint pain/swelling/stiffness (typically symmetrical), fatigue, fever, weight loss","DMARDs, biologics, NSAIDs, corticosteroids, physical therapy",No known prevention; early treatment may prevent joint damage,"Morning stiffness >30 minutes, joint swelling, multiple joint involvement",
Conjunctivitis,Inflammation or infection of the transparent membrane lining eyelid,"Redness, itching, tearing, discharge, gritty feeling, crusting of eyelids","Antibiotic drops (bacterial), antihistamines (allergic), artificial tears, cool compresses","Hand hygiene, avoid touching eyes, don't share towels/makeup, replace contact lens case","Severe pain, vision changes, sensitivity to light, symptoms worsening",,
Diverticulitis,Inflammation or infection of small pouches (diverticula) in intestines,"Abdominal pain (usually left lower quadrant), fever, nausea, vomiting, constipation/diarrhea","Antibiotics, liquid diet, pain relievers, surgery for severe/complicated cases","High-fiber diet, adequate fluids, regular exercise","Severe abdominal pain, fever >100.4°F, vomiting, rectal bleeding",,
Gout,Form of inflammatory arthritis characterized by recurrent attacks,"Sudden severe joint pain (often big toe), swelling, redness, warmth, lingering discomfort","NSAIDs, colchicine, corticosteroids, uric-acid lowering medications","Limit alcohol, maintain healthy weight, limit purine-rich foods","Sudden intense joint pain, especially with fever; recurrent attacks",,
Shingles,"Viral infection causing painful rash, caused by varicella-zoster virus","Pain/tingling/itching followed by rash with fluid-filled blisters, fever, headache, fatigue","Antiviral medications (acyclovir, valacyclovir), pain relievers, calamine lotion","Shingles vaccine (Shingrix), avoid contact with susceptible people","Rash near eye, severe pain, widespread rash, immunocompromised",,
Celiac,Disease,Autoimmune disorder triggered by gluten consumption,"Diarrhea, bloating, gas, abdominal pain, weight loss, fatigue, anemia, dermatitis herpetiformis","Strict gluten-free diet, nutritional supplements",No known prevention; early diagnosis and treatment prevent complications,"Chronic diarrhea, unexplained weight loss, abdominal pain",
Multiple,Sclerosis,Autoimmune disease where immune system attacks protective covering of nerves,"Numbness/weakness in limbs, electric-shock sensations, tremor, fatigue, vision problems","Disease-modifying therapies, corticosteroids, physical therapy, symptom management",No known prevention; vitamin D supplementation may help,"Vision loss, paralysis, numbness, coordination problems",
Parkinson's,Disease,Progressive nervous system disorder affecting movement,"Tremor, slowed movement, rigid muscles, impaired posture/balance, speech/writing changes","Levodopa, dopamine agonists, MAO-B inhibitors, deep brain stimulation, physical therapy",No known prevention; some evidence suggests caffeine and regular exercise may reduce risk,"Tremor, slowed movement, balance problems",
Lyme,Disease,Tick-borne illness caused by Borrelia burgdorferi bacteria,"Bull's-eye rash, fever, chills, fatigue, body aches, headache, neck stiffness","Antibiotics (doxycycline, amoxicillin, ceftriaxone)","Tick avoidance, protective clothing, tick checks after outdoor activities","Bull's-eye rash, flu-like symptoms after tick bite",
Endometriosis,Disorder where tissue similar to uterine lining grows outside uterus,"Pelvic pain, painful periods, pain with intercourse, infertility, heavy periods","Pain medications, hormone therapy, conservative surgery, hysterectomy",No known prevention; early diagnosis may prevent complications,"Severe menstrual cramps, chronic pelvic pain, infertility",,
Glaucoma,Group of eye conditions damaging optic nerve,"Gradual peripheral vision loss, tunnel vision, eye pain, headache, halos around lights","Eye drops, oral medications, laser treatment, surgery","Regular eye exams, eye protection, control blood pressure/diabetes","Sudden eye pain, headache, blurred vision, halos",,
