drug_name,drug_class,uses,side_effects,contraindications,precautions,dosage_forms,brand_names
Acetaminophen,Analgesic/Antipyretic,"Pain relief, fever reduction","Liver damage (overdose), skin reactions",Severe liver disease,"Avoid alcohol, don't exceed recommended dose","Tablets, capsules, liquid, suppositories","Tylenol, Panadol"
Ibuprofen,NSAID,"Pain, inflammation, fever","Stomach upset, bleeding, kidney problems","Active stomach ulcers, kidney disease","Take with food, avoid in third trimester of pregnancy","Tablets, capsules, liquid","Advil, Motrin, Nurofen"
Amoxicillin,Penicillin antibiotic,Bacterial infections,"Diarrhea, nausea, rash, allergic reactions",Penicillin allergy,"Complete full course, may reduce birth control effectiveness","Capsules, tablets, liquid","Amoxil, Trimox"
Lisinopril,ACE inhibitor,"High blood pressure, heart failure","Cough, dizziness, high potassium","Pregnancy, history of angioedema",Monitor kidney function and potassium,Tablets,"Zestril, Prinivil"
Atorvastatin,Statin,High cholesterol,"Muscle pain, liver problems, increased blood sugar","Active liver disease, pregnancy","Monitor liver enzymes, avoid grapefruit",Tablets,Lipitor
Metformin,Biguanide,Type 2 diabetes,"Nausea, diarrhea, vitamin B12 deficiency","Severe kidney disease, metabolic acidosis","Take with meals, monitor kidney function","Tablets, extended-release tablets","Glucophage, Fortamet"
Levothyroxine,Thyroid hormone,Hypothyroidism,"Hair loss, weight changes, heart palpitations",Uncontrolled thyroid problems,"Take on empty stomach, consistent timing",Tablets,"Synthroid, Levoxyl, Levothroid"
Albuterol,Bronchodilator,"Asthma, COPD","Tremors, nervousness, fast heartbeat, low potassium",None absolute,"Not for frequent use, use spacer with inhaler","Inhaler, nebulizer solution, tablets","ProAir, Ventolin, Proventil"
Omeprazole,Proton pump inhibitor,"GERD, ulcers","Headache, diarrhea, vitamin B12 deficiency",Concurrent use with rilpivirine,"Short-term use recommended, calcium/magnesium monitoring","Capsules, tablets","Prilosec, Losec"
Sertraline,SSRI antidepressant,"Depression, anxiety, OCD","Nausea, insomnia, sexual dysfunction","MAOI use, pimozide use","Suicide risk in young adults, gradual withdrawal","Tablets, liquid","Zoloft, Lustral"
Warfarin,Anticoagulant,Blood clot prevention,"Bleeding, bruising, hair loss","Active bleeding, pregnancy","Regular blood monitoring, avoid vitamin K fluctuations",Tablets,"Coumadin, Jantoven"
Insulin glargine,Long-acting insulin,Diabetes,"Low blood sugar, weight gain, injection site reactions",Hypoglycemia,"Rotate injection sites, monitor blood sugar",Injection,"Lantus, Basaglar, Toujeo"
Losartan,ARB,"High blood pressure, diabetic kidney disease","Dizziness, high potassium, back pain",Pregnancy,Monitor kidney function and potassium,Tablets,Cozaar
Metoprolol,Beta blocker,"High blood pressure, angina, heart failure","Fatigue, dizziness, slow heart rate","Severe asthma, heart block","Don't stop abruptly, monitor heart rate","Tablets, extended-release tablets","Lopressor, Toprol XL"
Hydrochlorothiazide,Thiazide diuretic,"High blood pressure, edema","Low potassium, increased blood sugar, sun sensitivity","Anuria, sulfa allergy","Monitor electrolytes, stay hydrated",Tablets,"Microzide, Oretic"
Prednisone,Corticosteroid,"Inflammation, autoimmune conditions","Weight gain, mood changes, high blood sugar, osteoporosis",Systemic fungal infections,"Taper dose, monitor for infections","Tablets, liquid","Deltasone, Rayos"
Gabapentin,Anticonvulsant,"Seizures, nerve pain","Dizziness, drowsiness, swelling",None absolute,"Avoid abrupt withdrawal, use caution in elderly","Capsules, tablets, solution","Neurontin, Gralise"
Tramadol,Opioid analgesic,Moderate to severe pain,"Nausea, dizziness, constipation, dependence","Acute asthma, MAOI use","Risk of addiction, avoid alcohol","Tablets, capsules, liquid","Ultram, ConZip"
Citalopram,SSRI antidepressant,Depression,"Nausea, drowsiness, QT prolongation","MAOI use, QT prolongation risk","Suicide risk monitoring, gradual dose changes","Tablets, liquid",Celexa
