problem,solution,steps,precautions
Minor Cut or Scrape,Clean and protect wound,1. Wash hands thoroughly\n2. Clean wound with mild soap and water\n3. Apply antibiotic ointment\n4. Cover with sterile bandage\n5. Change dressing daily,"Watch for signs of infection: redness, swelling, pus, fever"
Fever,Reduce fever and prevent dehydration,1. Rest and drink plenty of fluids\n2. Take acetaminophen or ibuprofen as directed\n3. Use cool compresses on forehead\n4. Wear lightweight clothing\n5. Monitor temperature regularly,"Seek medical help if fever >104°F, lasts >3 days, or with stiff neck"
Sprain or Strain,RICE method,1. Rest the injured area\n2. Ice for 15-20 minutes every 2-3 hours\n3. Compress with elastic bandage\n4. Elevate above heart level\n5. Gentle movement after 48 hours,"Seek help if severe pain, inability to bear weight, or no improvement in 2-3 days"
Minor Burn,Cool and protect burn,1. Run cool (not cold) water over burn for 10-15 minutes\n2. Clean gently with mild soap\n3. Apply antibiotic ointment\n4. Cover with non-stick sterile dressing\n5. Take pain reliever if needed,"Seek immediate help for burns on face, hands, genitals, or larger than 3 inches"
Nausea and Vomiting,Rehydration and rest,"1. Sip clear fluids (water, electrolyte solutions)\n2. Try BRAT diet (bananas, rice, applesauce, toast)\n3. Rest in comfortable position\n4. Avoid strong odors and fatty foods\n5. Use antiemetics if prescribed","Seek help if vomiting >24 hours, signs of dehydration, or vomiting blood"
Allergic Reaction,Manage symptoms and avoid triggers,1. Identify and avoid allergen\n2. Take antihistamines for mild reactions\n3. Use cool compresses for itching\n4. Apply hydrocortisone cream for rash\n5. Use nasal saline for congestion,"Use epinephrine and call emergency for difficulty breathing, swelling of face/throat"
Headache,Pain relief and relaxation,"1. Rest in quiet, dark room\n2. Apply cold compress to forehead\n3. Stay hydrated\n4. Take OTC pain relievers as directed\n5. Practice relaxation techniques","Seek help for sudden severe headache, with vision changes, fever, or stiff neck"
Nasal Congestion,Clear nasal passages,1. Use saline nasal spray\n2. Try steam inhalation\n3. Use humidifier\n4. Elevate head while sleeping\n5. Stay well-hydrated,"See doctor if congestion lasts >10 days, with high fever, or green discharge with fever"
Sore Throat,Soothe throat and reduce inflammation,1. Gargle with warm salt water\n2. Drink warm liquids\n3. Use throat lozenges\n4. Use humidifier\n5. Rest voice,"Seek help if difficulty breathing, swallowing, or lasts more than a week"
Diarrhea,Rehydration and diet management,"1. Drink plenty of fluids\n2. Use oral rehydration solutions\n3. Eat bland foods (BRAT diet)\n4. Avoid dairy, fatty foods, caffeine\n5. Rest","Seek help if bloody stools, severe pain, dehydration signs, or lasts >48 hours"
Constipation,Promote bowel movement,1. Increase fiber intake\n2. Drink more water\n3. Exercise regularly\n4. Try OTC fiber supplements\n5. Establish regular bathroom routine,"See doctor if severe pain, blood in stool, or no bowel movement for 3+ days"
Heartburn,Neutralize stomach acid,1. Avoid trigger foods\n2. Eat smaller meals\n3. Don't lie down after eating\n4. Use antacids as needed\n5. Elevate head of bed,"Seek help for severe chest pain, difficulty swallowing, or weight loss"
Back Pain,Relieve pain and improve mobility,"1. Rest for 1-2 days maximum\n2. Apply ice first 48 hours, then heat\n3. Gentle stretching\n4. Maintain good posture\n5. OTC anti-inflammatory medication","Seek help if pain radiates down legs, with numbness/weakness, or after injury"
Muscle Cramps,Relieve cramp and prevent recurrence,1. Gently stretch affected muscle\n2. Apply heat or ice\n3. Massage the area\n4. Stay hydrated\n5. Ensure adequate electrolyte intake,"See doctor if frequent, severe cramps or with swelling/redness"
Insomnia,Improve sleep quality,1. Establish regular sleep schedule\n2. Create relaxing bedtime routine\n3. Avoid screens before bed\n4. Keep bedroom cool and dark\n5. Limit caffeine and alcohol,See doctor if chronic insomnia affects daily function or with other health concerns
Cold/Flu Symptoms,Symptom relief and rest,1. Get plenty of rest\n2. Stay hydrated\n3. Use humidifier\n4. Take OTC cold medications\n5. Gargle with salt water for sore throat,"Seek help for difficulty breathing, chest pain, high fever, or symptoms worsening"
Anxiety Attack,Calm nervous system,1. Practice deep breathing\n2. Use grounding techniques\n3. Find quiet space\n4. Focus on senses\n5. Use calming self-talk,"Seek help if frequent, severe, or with thoughts of self-harm"
Dizziness,Prevent falls and relieve symptoms,1. Sit or lie down immediately\n2. Rise slowly from sitting/lying\n3. Stay hydrated\n4. Avoid sudden head movements\n5. Use assistive device if needed,"Seek help if frequent, with chest pain, headache, or neurological symptoms"
Skin Rash,Soothe and protect skin,1. Identify and avoid irritants\n2. Use cool compresses\n3. Apply hydrocortisone cream\n4. Keep area clean and dry\n5. Take antihistamines for itching,"See doctor for widespread rash, fever, or signs of infection"
Ear Pain,Relieve pressure and pain,1. Use warm compress\n2. Take OTC pain relievers\n3. Keep head elevated\n4. Avoid inserting objects in ear\n5. Use ear drops if appropriate,"Seek help for severe pain, hearing loss, fever, or discharge from ear"
UTI Symptoms,Increase fluids and see doctor,"1. Drink plenty of water\n2. Avoid irritants (caffeine, alcohol)\n3. Use heating pad for pain\n4. Empty bladder frequently\n5. See doctor for antibiotics","Seek emergency care for fever, chills, back pain, or confusion"
Allergic Rhinitis,Reduce exposure and symptoms,1. Check pollen counts\n2. Keep windows closed\n3. Shower after being outdoors\n4. Use air purifier\n5. Take antihistamines as needed,"See doctor if symptoms severe, not controlled by OTC medications, or with asthma"
Asthma Symptoms,Use inhaler and reduce triggers,1. Use rescue inhaler as directed\n2. Sit upright\n3. Practice pursed-lip breathing\n4. Stay calm\n5. Remove triggers if possible,"Seek emergency care if no improvement with inhaler, difficulty speaking, or lips blue"
Migraine,"Dark, quiet environment","1. Rest in dark, quiet room\n2. Apply cold compress to head\n3. Stay hydrated\n4. Use prescribed migraine medication\n5. Avoid triggers","Seek emergency care for worst headache ever, with confusion, or neurological symptoms"
Pink Eye,Prevent spread and soothe,1. Wash hands frequently\n2. Use cool compresses\n3. Avoid touching eyes\n4. Don't share towels or pillows\n5. Use artificial tears,"See doctor for pain, vision changes, or symptoms not improving in 2-3 days"
Yeast Infection,Antifungal treatment,1. Use OTC antifungal cream or suppositories\n2. Wear cotton underwear\n3. Avoid douching\n4. Practice good hygiene\n5. Avoid irritants like scented products,"See doctor for first infection, severe symptoms, or recurrent infections"
Gout Attack,Reduce inflammation and pain,1. Rest affected joint\n2. Apply ice packs\n3. Elevate joint\n4. Take prescribed medication\n5. Stay hydrated,"See doctor for first attack, severe pain, or fever with joint pain"
Shingles Pain,Comfort measures and antiviral treatment,1. Use cool compresses\n2. Apply calamine lotion\n3. Take OTC pain relievers\n4. Keep rash clean and dry\n5. See doctor for antiviral medication,"Seek immediate help if rash near eyes, severe pain, or widespread"
Menstrual Cramps,Pain relief and relaxation,1. Use heating pad on abdomen\n2. Take OTC pain relievers\n3. Gentle exercise\n4. Warm baths\n5. Relaxation techniques,"See doctor for severe pain, heavy bleeding, or symptoms affecting daily life"
Acid Reflux,Reduce stomach acid,1. Avoid lying down after eating\n2. Eat smaller meals\n3. Avoid trigger foods\n4. Elevate head of bed\n5. Use antacids as needed,"See doctor for frequent symptoms, difficulty swallowing, or weight loss"
Bronchitis,Symptom management,1. Get plenty of rest\n2. Stay well-hydrated\n3. Use humidifier\n4. Take OTC cough medications\n5. Avoid irritants like smoke,"See doctor for high fever, difficulty breathing, or symptoms lasting >3 weeks"
Conjunctivitis,Clean and soothe eyes,1. Wash hands thoroughly\n2. Use cool compresses\n3. Avoid rubbing eyes\n4. Don't share towels or makeup\n5. Use prescribed eye drops,"Seek immediate help for severe pain, vision changes, or chemical exposure"
Dry Skin,Restore moisture,"1. Take shorter, cooler showers\n2. Use gentle, fragrance-free soap\n3. Apply moisturizer immediately after bathing\n4. Use humidifier\n5. Drink adequate water","See doctor for severe cracking, bleeding, or signs of infection"
Contact Dermatitis,Soothe skin and avoid irritants,1. Identify and avoid trigger\n2. Use cool compresses\n3. Apply hydrocortisone cream\n4. Take oral antihistamines for itching\n5. Keep skin moisturized,"See doctor for widespread rash, signs of infection, or not improving"
Tension Headache,Relieve muscle tension,1. Rest in quiet room\n2. Apply warm compress to neck\n3. Gentle neck stretches\n4. Practice relaxation techniques\n5. OTC pain relievers as needed,"See doctor for frequent headaches, severe pain, or pattern changes"
Gas Pain,Relieve pressure,1. Walk or move around\n2. Apply heat to abdomen\n3. Drink peppermint or ginger tea\n4. Try over-the-counter gas relief\n5. Avoid gas-producing foods,"See doctor for severe pain, with vomiting, or lasting several days"
Fatigue,Increase energy levels,1. Establish regular sleep schedule\n2. Exercise regularly\n3. Eat balanced diet\n4. Stay hydrated\n5. Manage stress,"See doctor if persistent fatigue, with other symptoms, or affecting daily life"
Swollen Glands,Monitor and relieve discomfort,1. Rest and stay hydrated\n2. Use warm compresses\n3. Take OTC pain relievers\n4. Gargle with salt water if throat involved\n5. Monitor for other symptoms,"See doctor if swelling severe, lasts >2 weeks, or with fever/weight loss"
Motion Sickness,Prevent and relieve symptoms,1. Sit in front of vehicle\n2. Look at horizon\n3. Get fresh air\n4. Avoid reading or screens\n5. Use OTC motion sickness medication,See doctor if symptoms severe or frequent despite prevention measures
Cold Sores,Reduce outbreak and promote healing,1. Apply OTC antiviral cream\n2. Use cold compress for pain\n3. Avoid touching sore\n4. Don't share utensils or towels\n5. Use lip balm with SPF,"See doctor for frequent outbreaks, spreading sores, or near eyes"
Hemorrhoids,Reduce swelling and discomfort,1. Soak in warm bath\n2. Use OTC hemorrhoid cream\n3. Apply cold compresses\n4. Avoid straining during bowel movements\n5. Increase fiber intake,"See doctor for severe pain, bleeding, or prolapsed hemorrhoids"
