name,description,possible_conditions,severity,when_to_see_doctor
Chest Pain,Discomfort or pain in the chest area,"Heart attack, angina, GERD, costochondritis, pulmonary embolism, panic attack",High,"Immediate emergency care if crushing pain, radiating to arm/jaw, with shortness of breath or nausea"
Headache,Pain in any region of the head,"Migraine, tension headache, cluster headache, sinusitis, high blood pressure, brain tumor",Variable,"Sudden severe headache, headache with fever/stiff neck, confusion, weakness, or vision changes"
Shortness of Breath,Difficulty breathing or feeling breathless,"Asthma, COPD, heart failure, pneumonia, anxiety, pulmonary embolism",High,"Sudden onset, accompanied by chest pain, lips turning blue, or inability to speak full sentences"
Fever,Elevated body temperature above 100.4°F (38°C),"Infection, inflammatory conditions, autoimmune disorders, cancer",Variable,"Fever above 103°F, lasting more than 3 days, with stiff neck, confusion, or severe headache"
Fatigue,"Persistent tiredness, weakness, or exhaustion","Anemia, thyroid disorders, depression, chronic fatigue syndrome, diabetes, heart disease",Variable,"Interferes with daily activities, accompanied by weight loss, fever, or other concerning symptoms"
Dizziness,"Feeling lightheaded, unsteady, or like you might faint","Low blood pressure, inner ear problems, dehydration, heart problems, medication side effects",Variable,"Frequent episodes, with chest pain, palpitations, fainting, or neurological symptoms"
Cough,Sudden forceful expulsion of air from lungs,"Common cold, flu, bronchitis, pneumonia, asthma, COPD, lung cancer",Variable,"Coughing up blood, lasting more than 3 weeks, with fever, weight loss, or difficulty breathing"
Nausea,Feeling of unease and discomfort in stomach with urge to vomit,"Food poisoning, migraine, pregnancy, GERD, medications, heart attack",Variable,"Persistent vomiting, unable to keep liquids down, with severe abdominal pain or dehydration signs"
Abdominal Pain,Pain anywhere between chest and groin,"Appendicitis, gallstones, ulcers, IBS, kidney stones, diverticulitis",Variable,"Severe sudden pain, pain with fever, vomiting blood, bloody stools, or abdominal rigidity"
Back Pain,"Pain in upper, middle, or lower back","Muscle strain, herniated disc, arthritis, kidney infection, osteoporosis",Variable,"Pain after injury, with fever, leg weakness, bowel/bladder changes, or unexplained weight loss"
Joint Pain,"Discomfort, pain or inflammation in any joint","Arthritis, bursitis, gout, lupus, injury, fibromyalgia",Variable,"Severe pain, joint deformity, inability to move joint, or pain with fever and rash"
Muscle Weakness,Reduced strength in one or more muscles,"Muscular dystrophy, multiple sclerosis, stroke, thyroid disorders, electrolyte imbalance",High,"Sudden onset, progressive weakness, with difficulty speaking, vision changes, or facial drooping"
Rash,"Change in skin color, texture, or appearance","Allergic reaction, eczema, psoriasis, lupus, measles, shingles",Variable,"Covers large area, with fever, difficulty breathing, blistering, or painful rash"
Sore Throat,"Pain, scratchiness or irritation of the throat","Strep throat, tonsillitis, mono, allergies, GERD, COVID-19",Variable,"Severe pain, difficulty swallowing or breathing, lasting more than a week, with fever or rash"
Runny Nose,Excess nasal drainage or rhinorrhea,"Common cold, allergies, sinus infection, COVID-19, nasal polyps",Low,"Persistent for weeks, colored discharge, with facial pain or fever"
Swollen Lymph Nodes,"Enlarged lymph glands, usually in neck, armpits or groin","Infection, mononucleosis, autoimmune diseases, cancer",Variable,"Nodes hard/fixed, rapidly enlarging, lasting more than 2-4 weeks, with fever/night sweats"
Vision Changes,"Blurred vision, double vision, or loss of vision","Cataracts, glaucoma, macular degeneration, diabetes, stroke, migraine",High,"Sudden vision loss, double vision, eye pain, flashes of light, or curtain over vision"
Weight Loss,Unintentional reduction in body weight,"Cancer, diabetes, hyperthyroidism, depression, digestive disorders",High,"Loss of more than 5% body weight in 6-12 months without trying, with other symptoms"
Palpitations,"Awareness of heart beating, often fast or irregular","Anxiety, arrhythmia, heart disease, anemia, hyperthyroidism, medications",Variable,"Accompanied by chest pain, fainting, severe shortness of breath, or dizziness"
Numbness,Loss of sensation or tingling in body parts,"Pinched nerve, diabetes, multiple sclerosis, stroke, vitamin deficiency",High,"Sudden onset, affects one side of body, with weakness, confusion, or difficulty speaking"
Constipation,Infrequent bowel movements or difficult passage of stools,"Dehydration, poor diet, IBS, hypothyroidism, medications, colon cancer",Low,"Lasting more than 3 weeks, severe pain, blood in stools, or unexplained weight loss"
Diarrhea,"Loose, watery stools three or more times per day","Infection, IBS, inflammatory bowel disease, food intolerance, medications",Variable,"Lasting more than 2 days, with dehydration, severe abdominal pain, fever, or bloody stools"
Bloating,"Feeling of fullness, tightness or swelling in abdomen","Indigestion, IBS, food intolerance, celiac disease, ovarian cancer",Low,"Persistent, with weight loss, severe pain, blood in stools, or changes in bowel habits"
Insomnia,Difficulty falling or staying asleep,"Stress, anxiety, depression, sleep apnea, restless legs syndrome, medications",Variable,"Chronic insomnia affecting daily functioning, with loud snoring or breathing pauses during sleep"
Memory Loss,Difficulty remembering information or events,"Normal aging, dementia, Alzheimer's, depression, medication side effects, vitamin deficiency",Variable,"Progressive memory loss affecting daily activities, confusion, or personality changes"
Confusion,"Difficulty thinking clearly, disorientation, poor judgment","Dehydration, infection, medication side effects, dementia, stroke, low blood sugar",High,"Sudden onset, with headache, dizziness, slurred speech, or weakness on one side"
Bruising Easily,Bruises appearing with minimal or no injury,"Aging skin, medications, vitamin deficiency, bleeding disorders, leukemia",Variable,"Frequent large bruises, bleeding that won't stop, or accompanied by other bleeding symptoms"
Swelling,Accumulation of fluid in tissues causing puffiness,"Heart failure, kidney disease, liver disease, allergies, medication side effects",Variable,"Sudden onset, with shortness of breath, pain, or affecting only one limb"
Night Sweats,Excessive sweating during sleep,"Menopause, infections, cancer, medications, anxiety, hypoglycemia",Variable,"Soaking through clothes regularly, with fever, weight loss, or other concerning symptoms"
Excessive Thirst,Unusual persistent feeling of needing to drink fluids,"Diabetes, dehydration, diabetes insipidus, kidney disease, certain medications",Variable,"Extreme thirst with excessive urination, fatigue, or unexplained weight loss"
Frequent Urination,Needing to urinate more often than usual,"UTI, diabetes, pregnancy, prostate issues, diuretics, overactive bladder",Variable,"Painful urination, blood in urine, incontinence, or accompanied by excessive thirst"
Hearing Loss,Reduced ability to hear sounds,"Aging, noise exposure, ear infection, Meniere's disease, acoustic neuroma",Variable,"Sudden hearing loss, in one ear only, with pain, drainage, or dizziness"
Tinnitus,"Ringing, buzzing or other sounds in ears","Noise exposure, hearing loss, Meniere's disease, medications, TMJ disorders",Variable,"Sudden onset, in one ear only, with hearing loss, dizziness, or affecting sleep/concentration"
Bad Breath,Unpleasant odor from the mouth,"Poor oral hygiene, gum disease, dry mouth, sinus infections, GERD, liver/kidney problems",Low,"Persistent despite good oral hygiene, with other symptoms like tooth pain or fever"
Dry Mouth,Insufficient saliva production,"Dehydration, medications, Sjogren's syndrome, diabetes, radiation therapy",Low,"Severe dry mouth affecting eating/speaking, with dry eyes or joint pain"
Snoring,Noisy breathing during sleep,"Sleep apnea, nasal congestion, alcohol consumption, obesity",Variable,"Loud snoring with breathing pauses, daytime sleepiness, or witnessed apnea episodes"
Wheezing,High-pitched whistling sound when breathing,"Asthma, COPD, allergic reaction, heart failure, bronchitis",High,"First-time wheezing, with difficulty breathing, bluish lips, or rapid breathing"
Hiccups,Involuntary contractions of diaphragm followed by sudden closure of vocal cords,"Eating too fast, carbonated drinks, excitement/stress, nerve irritation",Low,"Persisting more than 48 hours, interfering with eating/sleeping, or with severe abdominal pain"
Burping,Release of air from stomach through mouth,"Swallowed air, carbonated drinks, GERD, gastritis, food intolerance",Low,"Excessive burping with abdominal pain, heartburn, nausea, or weight loss"
Hot Flashes,"Sudden feeling of warmth, often with sweating and flushing","Menopause, medications, thyroid problems, anxiety, certain cancers",Variable,"Severe enough to disrupt daily activities, with other concerning symptoms"
Cold Hands,Persistent coldness in hands,"Poor circulation, Raynaud's phenomenon, anemia, hypothyroidism, lupus",Variable,"Color changes in fingers (white/blue/red), with pain, numbness, or skin sores"
Leg Cramps,"Sudden, painful muscle contractions in legs","Dehydration, electrolyte imbalance, poor circulation, nerve compression, medications",Low,"Frequent severe cramps, with swelling, redness, or muscle weakness"
Restless Legs,Uncomfortable sensations in legs with urge to move them,"Restless legs syndrome, iron deficiency, kidney failure, pregnancy, neuropathy",Variable,"Severe enough to disrupt sleep, with daytime fatigue or other neurological symptoms"
Tremors,Involuntary rhythmic muscle contractions,"Essential tremor, Parkinson's disease, multiple sclerosis, hyperthyroidism, medications",Variable,"Progressive worsening, interfering with daily activities, or with other neurological symptoms"
Balance Problems,Difficulty maintaining equilibrium when standing or walking,"Inner ear disorders, neurological conditions, medications, low blood pressure",High,"Frequent falls, with dizziness, hearing loss, or other neurological symptoms"
Speech Problems,Difficulty speaking or forming words,"Stroke, TIA, neurological disorders, medication side effects, anxiety",High,"Sudden onset, with facial drooping, weakness, or confusion - EMERGENCY"
Difficulty Swallowing,Trouble moving food or liquid from mouth to stomach,"GERD, esophagitis, neurological disorders, strictures, cancer",Variable,"Progressive difficulty, with pain, weight loss, or choking episodes"
Excessive Hunger,Unusual increase in appetite,"Diabetes, hyperthyroidism, hypoglycemia, pregnancy, certain medications",Variable,"Accompanied by weight loss, excessive thirst, sweating, or tremors"
Loss of Appetite,Reduced desire to eat,"Infection, depression, cancer, liver/kidney disease, medications",Variable,"Persistent with weight loss, nausea, pain, or other concerning symptoms"
Hair Loss,Excessive shedding or thinning of hair,"Genetics, stress, hormonal changes, thyroid disorders, autoimmune conditions",Low,"Sudden hair loss, bald patches, with rash, pain, or other symptoms"
Nail Changes,"Discoloration, pitting, or other abnormalities in nails","Fungal infection, psoriasis, anemia, liver/kidney disease, nutritional deficiencies",Low,"Accompanied by other symptoms, rapid changes, or pain/swelling around nails"
Skin Discoloration,Changes in skin color or appearance,"Liver disease, Addison's disease, vitiligo, infections, circulation problems",Variable,"Rapid changes, with pain, itching, or other systemic symptoms"
Itching,Uncomfortable skin sensation causing desire to scratch,"Dry skin, allergies, liver/kidney disease, medications, psychological conditions",Variable,"Severe itching, widespread, with rash, weight loss, or jaundice"
Flushing,"Redness and warmth of skin, especially face","Menopause, rosacea, allergic reactions, certain cancers, medications",Variable,"Frequent episodes, with diarrhea, wheezing, or other concerning symptoms"
Excessive Sweating,Sweating more than needed for temperature regulation,"Hyperhidrosis, hyperthyroidism, menopause, infections, certain cancers",Variable,"Interfering with daily activities, night sweats, or with other concerning symptoms"
Dry Skin,"Skin that lacks moisture, often flaky or rough","Environmental factors, aging, hypothyroidism, eczema, dehydration",Low,"Severe cracking/bleeding, with rash, infection, or not responding to moisturizers"
Pale Skin,Unusual lightening of skin color,"Anemia, poor circulation, shock, vitamin deficiencies, certain cancers",Variable,"Sudden onset, with fatigue, shortness of breath, or rapid heart rate"
Yellow Skin,Yellowish discoloration of skin and eyes,"Liver disease, gallstones, pancreatitis, hemolytic anemia",High,"Accompanied by yellow eyes, dark urine, abdominal pain, or fever"
Blue Lips,Bluish discoloration of lips,"Low oxygen levels, heart/lung problems, cold exposure, certain medications",High,"Sudden onset, with difficulty breathing, chest pain, or confusion - EMERGENCY"
Clubbed Fingers,Enlargement of fingertips with nail bed softening,"Lung disease, heart disease, liver disease, inflammatory bowel disease",Variable,"Progressive changes, with coughing, shortness of breath, or other concerning symptoms"
Bad Taste in Mouth,Unpleasant taste sensation,"Oral infections, GERD, medications, neurological disorders, pregnancy",Low,"Persistent, with other oral symptoms, or affecting appetite/weight"
